product_id,shelf_x,shelf_y
P023,1,5
P086,1,4
P075,1,6
P038,2,5
P090,1,3
P022,1,7
P030,2,4
P066,2,6
P074,3,5
P059,1,2
P064,1,8
P091,2,3
P009,2,7
P053,3,4
P050,3,6
P097,4,5
P015,1,1
P057,1,9
P002,2,2
P045,2,8
P088,3,3
P026,3,7
P093,4,4
P089,4,6
P060,5,5
P078,1,10
P085,2,1
P094,2,9
P058,3,2
P032,3,8
P069,4,3
P021,4,7
P072,5,4
P049,5,6
P046,6,5
P014,2,10
P033,3,1
P018,3,9
P006,4,2
P031,4,8
P003,5,3
P082,5,7
P020,6,4
P071,6,6
P073,7,5
P065,3,10
P067,4,1
P034,4,9
P047,5,2
P055,5,8
P040,6,3
P054,6,7
P096,7,4
P007,7,6
P068,8,5
P000,4,10
P070,5,1
P081,5,9
P036,6,2
P027,6,8
P017,7,3
P012,7,7
P041,8,4
P080,8,6
P042,9,5
P025,5,10
P087,6,1
P005,6,9
P048,7,2
P061,7,8
P039,8,3
P004,8,7
P010,9,4
P076,9,6
P098,10,5
P001,6,10
P051,7,1
P029,7,9
P043,8,2
P024,8,8
P092,9,3
P099,9,7
P077,10,4
P028,10,6
P083,7,10
P011,8,1
P056,8,9
P008,9,2
P052,9,8
P016,10,3
P035,10,7
P084,8,10
P062,9,1
P044,9,9
P095,10,2
P019,10,8
P063,9,10
P079,10,1
P013,10,9
P037,10,10
