order_id,order_timestamp,product_id,quantity
ORD00000,2026-04-09 21:05:08.982894,P043,2
ORD00001,2026-04-09 21:18:08.982894,P021,1
ORD00001,2026-04-09 21:18:08.982894,P009,1
ORD00001,2026-04-09 21:18:08.982894,P034,3
ORD00001,2026-04-09 21:18:08.982894,P093,3
ORD00001,2026-04-09 21:18:08.982894,P032,1
ORD00002,2026-04-09 21:20:08.982894,P054,1
ORD00002,2026-04-09 21:20:08.982894,P071,2
ORD00003,2026-04-09 21:28:08.982894,P023,2
ORD00003,2026-04-09 21:28:08.982894,P018,2
ORD00003,2026-04-09 21:28:08.982894,P074,2
ORD00004,2026-04-09 21:35:08.982894,P036,3
ORD00004,2026-04-09 21:35:08.982894,P097,3
ORD00004,2026-04-09 21:35:08.982894,P096,3
ORD00004,2026-04-09 21:35:08.982894,P025,2
ORD00004,2026-04-09 21:35:08.982894,P052,1
ORD00004,2026-04-09 21:35:08.982894,P031,1
ORD00005,2026-04-09 21:40:08.982894,P090,3
ORD00005,2026-04-09 21:40:08.982894,P021,2
ORD00006,2026-04-09 21:41:08.982894,P045,1
ORD00007,2026-04-09 21:42:08.982894,P029,1
ORD00008,2026-04-09 21:44:08.982894,P038,3
ORD00009,2026-04-09 21:48:08.982894,P090,3
ORD00009,2026-04-09 21:48:08.982894,P021,3
ORD00010,2026-04-09 21:57:08.982894,P050,2
ORD00010,2026-04-09 21:57:08.982894,P014,2
ORD00010,2026-04-09 21:57:08.982894,P022,2
ORD00010,2026-04-09 21:57:08.982894,P064,1
ORD00010,2026-04-09 21:57:08.982894,P090,1
ORD00011,2026-04-09 22:05:08.982894,P003,1
ORD00011,2026-04-09 22:05:08.982894,P063,1
ORD00011,2026-04-09 22:05:08.982894,P053,3
ORD00011,2026-04-09 22:05:08.982894,P028,1
ORD00011,2026-04-09 22:05:08.982894,P090,3
ORD00012,2026-04-09 22:10:08.982894,P023,3
ORD00012,2026-04-09 22:10:08.982894,P089,3
ORD00013,2026-04-09 22:15:08.982894,P024,3
ORD00013,2026-04-09 22:15:08.982894,P012,1
ORD00013,2026-04-09 22:15:08.982894,P051,3
ORD00013,2026-04-09 22:15:08.982894,P098,3
ORD00013,2026-04-09 22:15:08.982894,P068,2
ORD00013,2026-04-09 22:15:08.982894,P075,3
ORD00014,2026-04-09 22:17:08.982894,P023,2
ORD00014,2026-04-09 22:17:08.982894,P072,1
ORD00015,2026-04-09 22:32:08.982894,P085,2
ORD00015,2026-04-09 22:32:08.982894,P049,1
ORD00015,2026-04-09 22:32:08.982894,P060,3
ORD00016,2026-04-09 22:43:08.982894,P038,2
ORD00016,2026-04-09 22:43:08.982894,P065,2
ORD00016,2026-04-09 22:43:08.982894,P055,1
ORD00016,2026-04-09 22:43:08.982894,P006,1
ORD00016,2026-04-09 22:43:08.982894,P083,3
ORD00017,2026-04-09 22:50:08.982894,P032,1
ORD00018,2026-04-09 22:56:08.982894,P018,2
ORD00018,2026-04-09 22:56:08.982894,P003,1
ORD00018,2026-04-09 22:56:08.982894,P060,3
ORD00018,2026-04-09 22:56:08.982894,P068,2
ORD00018,2026-04-09 22:56:08.982894,P001,3
ORD00018,2026-04-09 22:56:08.982894,P053,3
ORD00019,2026-04-09 23:03:08.982894,P086,3
ORD00020,2026-04-09 23:04:08.982894,P022,3
ORD00020,2026-04-09 23:04:08.982894,P065,1
ORD00020,2026-04-09 23:04:08.982894,P017,2
ORD00020,2026-04-09 23:04:08.982894,P070,1
ORD00020,2026-04-09 23:04:08.982894,P040,1
ORD00021,2026-04-09 23:09:08.982894,P032,1
ORD00022,2026-04-09 23:20:08.982894,P086,3
ORD00022,2026-04-09 23:20:08.982894,P088,3
ORD00023,2026-04-09 23:23:08.982894,P092,1
ORD00023,2026-04-09 23:23:08.982894,P011,1
ORD00024,2026-04-09 23:38:08.982894,P093,3
ORD00024,2026-04-09 23:38:08.982894,P059,1
ORD00025,2026-04-09 23:43:08.982894,P078,2
ORD00026,2026-04-09 23:47:08.982894,P032,1
ORD00026,2026-04-09 23:47:08.982894,P046,1
ORD00026,2026-04-09 23:47:08.982894,P075,1
ORD00027,2026-04-09 23:58:08.982894,P074,3
ORD00027,2026-04-09 23:58:08.982894,P072,2
ORD00027,2026-04-09 23:58:08.982894,P023,3
ORD00027,2026-04-09 23:58:08.982894,P089,3
ORD00028,2026-04-10 00:04:08.982894,P034,2
ORD00029,2026-04-10 00:07:08.982894,P050,3
ORD00029,2026-04-10 00:07:08.982894,P014,1
ORD00029,2026-04-10 00:07:08.982894,P022,2
ORD00029,2026-04-10 00:07:08.982894,P064,3
ORD00029,2026-04-10 00:07:08.982894,P090,1
ORD00030,2026-04-10 00:12:08.982894,P002,3
ORD00031,2026-04-10 00:23:08.982894,P008,3
ORD00031,2026-04-10 00:23:08.982894,P091,3
ORD00031,2026-04-10 00:23:08.982894,P087,1
ORD00031,2026-04-10 00:23:08.982894,P026,2
ORD00031,2026-04-10 00:23:08.982894,P067,2
ORD00031,2026-04-10 00:23:08.982894,P081,1
ORD00032,2026-04-10 00:34:08.982894,P057,2
ORD00032,2026-04-10 00:34:08.982894,P055,3
ORD00032,2026-04-10 00:34:08.982894,P024,1
ORD00032,2026-04-10 00:34:08.982894,P007,3
ORD00032,2026-04-10 00:34:08.982894,P089,2
ORD00033,2026-04-10 00:43:08.982894,P002,3
ORD00033,2026-04-10 00:43:08.982894,P023,1
ORD00034,2026-04-10 00:47:08.982894,P002,3
ORD00035,2026-04-10 00:57:08.982894,P049,3
ORD00035,2026-04-10 00:57:08.982894,P060,3
ORD00036,2026-04-10 01:08:08.982894,P045,2
ORD00036,2026-04-10 01:08:08.982894,P009,3
ORD00037,2026-04-10 01:11:08.982894,P089,3
ORD00037,2026-04-10 01:11:08.982894,P065,3
ORD00037,2026-04-10 01:11:08.982894,P034,3
ORD00038,2026-04-10 01:21:08.982894,P018,1
ORD00038,2026-04-10 01:21:08.982894,P074,1
ORD00039,2026-04-10 01:22:08.982894,P045,2
ORD00039,2026-04-10 01:22:08.982894,P009,2
ORD00040,2026-04-10 01:37:08.982894,P035,3
ORD00040,2026-04-10 01:37:08.982894,P072,3
ORD00041,2026-04-10 01:44:08.982894,P053,1
ORD00041,2026-04-10 01:44:08.982894,P069,2
ORD00042,2026-04-10 01:48:08.982894,P078,1
ORD00042,2026-04-10 01:48:08.982894,P066,1
ORD00043,2026-04-10 01:56:08.982894,P045,3
ORD00044,2026-04-10 02:02:08.982894,P089,3
ORD00044,2026-04-10 02:02:08.982894,P087,3
ORD00044,2026-04-10 02:02:08.982894,P077,3
ORD00044,2026-04-10 02:02:08.982894,P065,2
ORD00045,2026-04-10 02:16:08.982894,P006,1
ORD00045,2026-04-10 02:16:08.982894,P015,3
ORD00045,2026-04-10 02:16:08.982894,P089,2
ORD00045,2026-04-10 02:16:08.982894,P062,2
ORD00046,2026-04-10 02:21:08.982894,P000,2
ORD00046,2026-04-10 02:21:08.982894,P007,3
ORD00046,2026-04-10 02:21:08.982894,P067,2
ORD00046,2026-04-10 02:21:08.982894,P015,3
ORD00046,2026-04-10 02:21:08.982894,P056,1
ORD00046,2026-04-10 02:21:08.982894,P071,2
ORD00047,2026-04-10 02:29:08.982894,P050,2
ORD00047,2026-04-10 02:29:08.982894,P014,3
ORD00047,2026-04-10 02:29:08.982894,P064,1
ORD00047,2026-04-10 02:29:08.982894,P090,3
ORD00048,2026-04-10 02:33:08.982894,P002,1
ORD00048,2026-04-10 02:33:08.982894,P023,1
ORD00049,2026-04-10 02:47:08.982894,P032,3
ORD00049,2026-04-10 02:47:08.982894,P075,2
ORD00050,2026-04-10 02:55:08.982894,P074,3
ORD00050,2026-04-10 02:55:08.982894,P072,3
ORD00051,2026-04-10 03:07:08.982894,P094,2
ORD00051,2026-04-10 03:07:08.982894,P086,1
ORD00052,2026-04-10 03:14:08.982894,P057,1
ORD00052,2026-04-10 03:14:08.982894,P038,3
ORD00053,2026-04-10 03:23:08.982894,P002,1
ORD00053,2026-04-10 03:23:08.982894,P023,3
ORD00054,2026-04-10 03:30:08.982894,P045,2
ORD00054,2026-04-10 03:30:08.982894,P009,1
ORD00055,2026-04-10 03:38:08.982894,P015,2
ORD00055,2026-04-10 03:38:08.982894,P097,1
ORD00056,2026-04-10 03:50:08.982894,P074,1
ORD00056,2026-04-10 03:50:08.982894,P072,1
ORD00056,2026-04-10 03:50:08.982894,P089,1
ORD00057,2026-04-10 04:04:08.982894,P093,2
ORD00057,2026-04-10 04:04:08.982894,P059,3
ORD00057,2026-04-10 04:04:08.982894,P033,2
ORD00058,2026-04-10 04:17:08.982894,P091,1
ORD00058,2026-04-10 04:17:08.982894,P094,2
ORD00058,2026-04-10 04:17:08.982894,P086,1
ORD00059,2026-04-10 04:27:08.982894,P050,3
ORD00059,2026-04-10 04:27:08.982894,P022,3
ORD00059,2026-04-10 04:27:08.982894,P090,3
ORD00060,2026-04-10 04:31:08.982894,P075,1
ORD00060,2026-04-10 04:31:08.982894,P015,2
ORD00060,2026-04-10 04:31:08.982894,P097,3
ORD00060,2026-04-10 04:31:08.982894,P038,2
ORD00061,2026-04-10 04:42:08.982894,P085,2
ORD00061,2026-04-10 04:42:08.982894,P049,1
ORD00061,2026-04-10 04:42:08.982894,P060,2
ORD00062,2026-04-10 04:48:08.982894,P066,3
ORD00062,2026-04-10 04:48:08.982894,P022,1
ORD00062,2026-04-10 04:48:08.982894,P071,2
ORD00062,2026-04-10 04:48:08.982894,P023,1
ORD00063,2026-04-10 05:00:08.982894,P057,2
ORD00063,2026-04-10 05:00:08.982894,P030,2
ORD00064,2026-04-10 05:07:08.982894,P032,2
ORD00064,2026-04-10 05:07:08.982894,P073,2
ORD00064,2026-04-10 05:07:08.982894,P066,1
ORD00064,2026-04-10 05:07:08.982894,P084,1
ORD00064,2026-04-10 05:07:08.982894,P067,2
ORD00065,2026-04-10 05:22:08.982894,P075,1
ORD00065,2026-04-10 05:22:08.982894,P015,2
ORD00065,2026-04-10 05:22:08.982894,P030,1
ORD00065,2026-04-10 05:22:08.982894,P097,2
ORD00066,2026-04-10 05:35:08.982894,P014,1
ORD00066,2026-04-10 05:35:08.982894,P022,1
ORD00066,2026-04-10 05:35:08.982894,P064,3
ORD00067,2026-04-10 05:42:08.982894,P075,2
ORD00067,2026-04-10 05:42:08.982894,P015,1
ORD00067,2026-04-10 05:42:08.982894,P030,2
ORD00067,2026-04-10 05:42:08.982894,P097,3
ORD00067,2026-04-10 05:42:08.982894,P038,1
ORD00068,2026-04-10 05:47:08.982894,P058,2
ORD00068,2026-04-10 05:47:08.982894,P007,3
ORD00068,2026-04-10 05:47:08.982894,P038,3
ORD00069,2026-04-10 05:53:08.982894,P078,2
ORD00069,2026-04-10 05:53:08.982894,P066,2
ORD00070,2026-04-10 05:58:08.982894,P086,3
ORD00070,2026-04-10 05:58:08.982894,P088,1
ORD00070,2026-04-10 05:58:08.982894,P026,1
ORD00071,2026-04-10 06:02:08.982894,P027,3
ORD00071,2026-04-10 06:02:08.982894,P024,3
ORD00071,2026-04-10 06:02:08.982894,P097,3
ORD00072,2026-04-10 06:12:08.982894,P088,2
ORD00072,2026-04-10 06:12:08.982894,P026,1
ORD00073,2026-04-10 06:24:08.982894,P050,2
ORD00073,2026-04-10 06:24:08.982894,P014,1
ORD00073,2026-04-10 06:24:08.982894,P022,1
ORD00073,2026-04-10 06:24:08.982894,P090,3
ORD00074,2026-04-10 06:29:08.982894,P045,2
ORD00075,2026-04-10 06:43:08.982894,P023,1
ORD00075,2026-04-10 06:43:08.982894,P018,1
ORD00075,2026-04-10 06:43:08.982894,P074,3
ORD00075,2026-04-10 06:43:08.982894,P058,2
ORD00076,2026-04-10 06:45:08.982894,P040,3
ORD00077,2026-04-10 06:58:08.982894,P091,2
ORD00077,2026-04-10 06:58:08.982894,P094,2
ORD00077,2026-04-10 06:58:08.982894,P086,2
ORD00078,2026-04-10 07:12:08.982894,P002,3
ORD00078,2026-04-10 07:12:08.982894,P023,3
ORD00079,2026-04-10 07:14:08.982894,P088,3
ORD00079,2026-04-10 07:14:08.982894,P065,1
ORD00080,2026-04-10 07:19:08.982894,P078,1
ORD00080,2026-04-10 07:19:08.982894,P053,1
ORD00081,2026-04-10 07:28:08.982894,P090,2
ORD00081,2026-04-10 07:28:08.982894,P021,2
ORD00082,2026-04-10 07:29:08.982894,P078,1
ORD00083,2026-04-10 07:40:08.982894,P050,3
ORD00083,2026-04-10 07:40:08.982894,P014,1
ORD00083,2026-04-10 07:40:08.982894,P022,3
ORD00083,2026-04-10 07:40:08.982894,P090,1
ORD00084,2026-04-10 07:55:08.982894,P093,3
ORD00084,2026-04-10 07:55:08.982894,P059,2
ORD00084,2026-04-10 07:55:08.982894,P033,2
ORD00084,2026-04-10 07:55:08.982894,P022,1
ORD00085,2026-04-10 08:03:08.982894,P059,2
ORD00085,2026-04-10 08:03:08.982894,P051,2
ORD00085,2026-04-10 08:03:08.982894,P020,3
